Date,Open,Close,Volume,Price_change,date
2009-01-02,902.989990234375,931.7999877929688,4048270000,1,0
2009-01-05,929.1699829101562,927.4500122070312,5413910000,-1,2009-01-05
2009-01-06,931.1699829101562,934.7000122070312,5392620000,1,2009-01-06
2009-01-07,927.4500122070312,906.6500244140625,4704940000,-1,2009-01-07
2009-01-08,905.72998046875,909.72998046875,4991550000,1,2009-01-08
2009-01-09,909.9099731445312,890.3499755859375,4716500000,-1,2009-01-09
2009-01-12,890.4000244140625,870.260009765625,4725050000,-1,2009-01-12
2009-01-13,869.7899780273438,871.7899780273438,5567460000,1,2009-01-13
2009-01-14,867.280029296875,842.6199951171875,5407880000,-1,2009-01-14
2009-01-15,841.989990234375,843.739990234375,7807350000,1,2009-01-15
2009-01-16,844.4500122070312,850.1199951171875,6786040000,1,2009-01-16
2009-01-20,849.6400146484375,805.219970703125,6375230000,-1,2009-01-20
2009-01-21,806.77001953125,840.239990234375,6467830000,1,2009-01-21
2009-01-22,839.739990234375,827.5,5843830000,-1,2009-01-22
2009-01-23,822.1599731445312,831.9500122070312,5832160000,1,2009-01-23
2009-01-26,832.5,836.5700073242188,6039940000,1,2009-01-26
2009-01-27,837.2999877929688,845.7100219726562,5353260000,1,2009-01-27
2009-01-28,845.72998046875,874.0900268554688,6199180000,1,2009-01-28
2009-01-29,868.8900146484375,845.1400146484375,5067060000,-1,2009-01-29
2009-01-30,845.6900024414062,825.8800048828125,5350580000,-1,2009-01-30
2009-02-02,823.0900268554688,825.4400024414062,5673270000,-1,2009-02-02
2009-02-03,825.6900024414062,838.510009765625,5886310000,1,2009-02-03
2009-02-04,837.77001953125,832.22998046875,6420450000,-1,2009-02-04
2009-02-05,831.75,845.8499755859375,6624030000,1,2009-02-05
2009-02-06,846.0900268554688,868.5999755859375,6484100000,1,2009-02-06
2009-02-09,868.239990234375,869.8900146484375,5574370000,1,2009-02-09
2009-02-10,866.8699951171875,827.1599731445312,6770170000,-1,2009-02-10
2009-02-11,827.4099731445312,833.739990234375,5926460000,1,2009-02-11
2009-02-12,829.9099731445312,835.1900024414062,6476460000,1,2009-02-12
2009-02-13,833.9500122070312,826.8400268554688,5296650000,-1,2009-02-13
2009-02-17,818.6099853515625,789.1699829101562,5907820000,-1,2009-02-17
2009-02-18,791.0599975585938,788.4199829101562,5740710000,-1,2009-02-18
2009-02-19,787.9099731445312,778.9400024414062,5746940000,-1,2009-02-19
2009-02-20,775.8699951171875,770.0499877929688,8210590000,-1,2009-02-20
2009-02-23,773.25,743.3300170898438,6509300000,-1,2009-02-23
2009-02-24,744.6900024414062,773.1400146484375,7234490000,1,2009-02-24
2009-02-25,770.6400146484375,764.9000244140625,7483640000,-1,2009-02-25
2009-02-26,765.760009765625,752.8300170898438,7599970000,-1,2009-02-26
2009-02-27,749.9299926757812,735.0900268554688,8926480000,-1,2009-02-27
2009-03-02,729.5700073242188,700.8200073242188,7868290000,-1,2009-03-02
2009-03-03,704.4400024414062,696.3300170898438,7583230000,-1,2009-03-03
2009-03-04,698.5999755859375,712.8699951171875,7673620000,1,2009-03-04
2009-03-05,708.27001953125,682.5499877929688,7507250000,-1,2009-03-05
2009-03-06,684.0399780273438,683.3800048828125,7331830000,1,2009-03-06
2009-03-09,680.760009765625,676.530029296875,7277320000,-1,2009-03-09
